Track,Message Type,Note,Velocity,Time
1,note_on,74,0,60
1,note_on,67,0,0
1,note_on,69,57,0
1,note_on,74,47,60
1,note_on,74,0,60
1,note_on,62,42,0
1,note_on,62,0,60
1,note_on,74,50,0
1,note_on,74,0,60
1,note_on,69,0,0
1,note_on,71,66,0
1,note_on,74,52,60
1,note_on,74,0,60
1,note_on,71,0,0
1,note_on,62,58,0
1,note_on,74,49,60
1,note_on,74,0,60
1,note_on,62,0,0
1,note_on,63,57,0
1,note_on,74,47,60
1,note_on,74,0,60
1,note_on,63,0,0
1,note_on,64,57,0
1,note_on,74,47,60
1,note_on,74,0,60
1,note_on,64,0,0
1,note_on,65,56,0
1,note_on,74,47,60
1,note_on,74,0,60
1,note_on,65,0,0
1,note_on,66,55,0
1,note_on,74,47,60
1,note_on,74,0,60
1,note_on,66,0,0
1,note_on,67,53,0
1,note_on,74,45,60
1,note_on,74,0,60
1,note_on,67,0,0
1,note_on,69,53,0
1,note_on,74,42,60
1,note_on,74,0,60
1,note_on,69,0,0
1,note_on,71,53,0
1,note_on,74,39,60
1,note_on,74,0,60
1,note_on,76,46,0
1,note_on,76,0,60
1,note_on,74,38,0
1,note_on,74,0,60
1,note_on,71,0,0
1,note_on,71,55,0
1,note_on,74,40,60
1,note_on,74,0,60
1,note_on,76,48,0
1,note_on,76,0,60
1,note_on,74,39,0
1,note_on,74,0,60
1,note_on,71,0,0
1,note_on,69,60,0
1,note_on,74,46,60
1,note_on,74,0,60
1,note_on,76,53,0
1,note_on,76,0,60
1,note_on,74,47,0
1,note_on,74,0,60
1,note_on,69,0,0
1,note_on,71,63,0
1,note_on,79,50,60
1,note_on,79,0,60
1,note_on,81,59,0
1,note_on,81,0,60
1,note_on,79,52,0
1,note_on,79,0,60
1,note_on,71,0,0
1,note_on,74,69,0
1,note_on,79,52,60
1,note_on,79,0,60
1,note_on,81,58,0
1,note_on,81,0,60
1,note_on,79,51,0
1,note_on,79,0,60
1,note_on,74,0,0
1,note_on,72,62,0
1,note_on,79,48,60
1,note_on,79,0,60
1,note_on,81,52,0
1,note_on,81,0,60
1,note_on,79,46,0
1,note_on,79,0,60
1,note_on,72,0,0
1,note_on,71,61,0
1,note_on,79,49,60
1,note_on,79,0,60
1,note_on,81,53,0
1,note_on,81,0,60
1,note_on,79,48,0
1,note_on,79,0,60
1,note_on,71,0,0
1,note_on,70,60,0
1,note_on,79,49,60
1,note_on,79,0,60
1,note_on,78,51,0
1,note_on,78,0,60
1,note_on,76,49,0
1,note_on,76,0,60
1,note_on,70,0,0
1,note_on,71,51,0
1,note_on,74,40,60
1,note_on,74,0,60
1,note_on,76,44,0
1,note_on,76,0,60
1,note_on,74,38,0
1,note_on,74,0,60
1,note_on,71,0,0
1,note_on,67,47,0
1,note_on,74,37,60
1,note_on,74,0,60
1,note_on,76,41,0
1,note_on,76,0,60
1,note_on,74,34,0
1,note_on,74,0,60
1,note_on,67,0,0
1,note_on,66,50,0
1,note_on,74,44,60
1,note_on,74,0,60
1,note_on,66,0,0
1,note_on,69,48,0
1,note_on,74,41,60
1,note_on,74,0,60
1,note_on,69,0,0
1,note_on,72,51,0
1,note_on,74,40,60
1,note_on,74,0,60
1,note_on,72,0,0
1,note_on,71,50,0
1,note_on,74,39,60
1,note_on,74,0,60
1,note_on,71,0,0
1,note_on,69,49,0
1,note_on,74,39,60
1,note_on,74,0,60
1,note_on,73,42,0
1,note_on,73,0,60
1,note_on,74,37,0
1,note_on,74,0,60
1,note_on,76,42,0
1,note_on,76,0,60
1,note_on,74,36,0
1,note_on,74,0,60
1,note_on,73,41,0
1,note_on,73,0,60
1,note_on,74,36,0
1,note_on,74,0,60
1,note_on,69,0,0
1,note_on,79,52,0
1,note_on,67,52,0
1,note_on,67,0,120
1,note_on,79,0,0
1,note_on,66,45,0
1,note_on,66,0,60
1,note_on,67,49,0
1,note_on,67,0,60
1,note_on,69,53,0
1,note_on,69,0,60
1,note_on,67,49,0
1,note_on,67,0,60
1,note_on,66,56,0
1,note_on,66,0,60
1,note_on,67,50,0
1,note_on,67,0,60
1,note_on,79,75,0
1,note_on,67,51,60
1,note_on,67,0,60
1,note_on,72,57,0
1,note_on,72,0,60
1,note_on,67,51,0
1,note_on,67,0,60
1,note_on,79,0,0
1,note_on,76,68,0
1,note_on,67,51,60
1,note_on,67,0,60
1,note_on,72,55,0
1,note_on,72,0,60
1,note_on,67,50,0
1,note_on,67,0,60
1,note_on,76,0,0
1,note_on,79,73,0
1,note_on,67,51,60
1,note_on,67,0,60
1,note_on,72,57,0
1,note_on,72,0,60
1,note_on,67,52,0
1,note_on,67,0,60
1,note_on,79,0,0
1,note_on,76,67,0
1,note_on,67,50,60
1,note_on,67,0,60
1,note_on,72,53,0
1,note_on,72,0,60
1,note_on,67,50,0
1,note_on,67,0,60
1,note_on,76,0,0
1,note_on,76,70,0
1,note_on,67,51,60
1,note_on,67,0,60
1,note_on,66,56,0
1,note_on,66,0,60
1,note_on,67,51,0
