Track,Message Type,Note,Velocity,Time
1,note_on,70,70,0
1,note_on,78,79,0
1,note_on,78,0,480
1,note_on,70,0,0
1,note_on,76,0,0
1,note_on,76,79,0
1,note_on,70,70,0
1,note_on,78,79,0
1,note_on,78,0,480
1,note_on,70,0,0
1,note_on,76,0,0
1,note_on,70,69,0
1,note_on,76,77,0
1,note_on,78,77,0
1,note_on,78,0,480
1,note_on,76,0,0
1,note_on,70,0,0
1,note_on,64,70,0
1,note_on,66,70,0
1,note_on,58,63,0
1,note_on,58,0,480
1,note_on,66,0,0
1,note_on,64,0,0
1,note_on,66,70,0
1,note_on,64,70,0
1,note_on,58,63,0
1,note_on,58,0,480
1,note_on,64,0,0
1,note_on,66,0,0
1,note_on,64,69,0
1,note_on,66,69,0
1,note_on,58,62,0
1,note_on,58,0,420
1,note_on,66,0,0
1,note_on,64,0,0
1,note_on,66,45,60
1,note_on,71,49,0
1,note_on,71,0,240
1,note_on,66,0,0
1,note_on,65,46,0
1,note_on,65,0,240
1,note_on,66,45,0
1,note_on,71,49,0
1,note_on,71,0,480
1,note_on,66,0,0
1,note_on,70,49,0
1,note_on,64,45,0
1,note_on,64,0,240
1,note_on,70,0,0
1,note_on,62,45,240
1,note_on,67,49,0
1,note_on,67,0,240
1,note_on,62,0,0
1,note_on,61,45,0
1,note_on,61,0,240
1,note_on,62,45,0
1,note_on,67,49,0
1,note_on,67,0,480
1,note_on,62,0,0
1,note_on,61,44,0
1,note_on,66,47,0
1,note_on,66,0,240
1,note_on,61,0,0
1,note_on,60,45,240
1,note_on,66,49,0
1,note_on,66,0,240
1,note_on,60,0,0
1,note_on,59,46,0
1,note_on,59,0,240
1,note_on,66,49,0
1,note_on,60,45,0
1,note_on,60,0,480
1,note_on,66,0,0
1,note_on,59,43,0
1,note_on,64,46,0
1,note_on,64,0,240
1,note_on,59,0,0
1,note_on,58,45,240
1,note_on,64,49,0
1,note_on,64,0,240
1,note_on,58,0,0
1,note_on,58,47,240
1,note_on,62,52,0
1,note_on,62,0,240
1,note_on,58,0,0
1,note_on,61,50,240
1,note_on,58,45,0
1,note_on,58,0,240
1,note_on,61,0,0
1,note_on,59,47,0
1,note_on,59,0,240
1,note_on,62,47,720
1,note_on,71,47,0
1,note_on,74,47,0
1,note_on,74,0,120
1,note_on,71,0,0
1,note_on,62,0,0
1,note_on,74,49,120
1,note_on,71,49,0
1,note_on,64,49,0
1,note_on,64,0,120
1,note_on,71,0,0
1,note_on,74,0,0
1,note_on,74,46,120
1,note_on,71,46,0
1,note_on,65,46,0
1,note_on,65,0,120
1,note_on,71,0,0
1,note_on,74,0,0
1,note_on,66,45,840
1,note_on,59,45,0
1,note_on,56,45,0
1,note_on,56,0,120
1,note_on,59,0,0
1,note_on,66,0,0
