Track,Message Type,Note,Velocity,Time
1,note_on,77,0,60
1,note_on,79,51,0
1,note_on,79,0,60
1,note_on,77,54,0
1,note_on,77,0,60
1,note_on,79,50,0
1,note_on,79,0,60
1,note_on,77,54,0
1,note_on,77,0,60
1,note_on,79,48,0
1,note_on,79,0,60
1,note_on,77,53,0
1,note_on,77,0,40
1,note_on,79,49,0
1,note_on,79,0,40
1,note_on,77,50,0
1,note_on,77,0,40
1,note_on,76,66,0
1,note_on,76,0,480
1,note_on,76,59,0
1,note_on,76,0,120
1,note_on,72,49,0
1,note_on,72,0,120
1,note_on,79,59,0
1,note_on,79,0,120
1,note_on,76,51,0
1,note_on,76,0,60
1,note_on,76,59,60
1,note_on,76,0,120
1,note_on,74,51,0
1,note_on,74,0,120
1,note_on,79,56,0
1,note_on,79,0,120
1,note_on,74,47,0
1,note_on,74,0,60
1,note_on,74,59,60
1,note_on,74,0,120
1,note_on,72,48,0
1,note_on,72,0,120
1,note_on,81,57,0
1,note_on,81,0,120
1,note_on,72,49,0
1,note_on,72,0,60
1,note_on,71,56,60
1,note_on,71,0,120
1,note_on,67,47,0
1,note_on,67,0,120
1,note_on,72,56,0
1,note_on,72,0,120
1,note_on,67,48,0
1,note_on,67,0,120
1,note_on,74,57,0
1,note_on,74,0,120
1,note_on,67,52,0
1,note_on,67,0,120
1,note_on,76,62,0
1,note_on,76,0,120
1,note_on,67,55,0
1,note_on,67,0,120
1,note_on,74,63,0
1,note_on,74,0,120
1,note_on,79,55,0
1,note_on,79,0,60
1,note_on,79,55,60
1,note_on,79,0,60
1,note_on,79,55,60
1,note_on,79,0,60
1,note_on,78,59,60
1,note_on,78,0,120
1,note_on,84,58,0
1,note_on,84,0,60
1,note_on,84,60,60
1,note_on,84,0,60
1,note_on,84,54,60
1,note_on,84,0,60
1,note_on,84,63,60
1,note_on,84,0,120
1,note_on,83,59,0
1,note_on,83,0,120
1,note_on,81,56,0
1,note_on,81,0,120
1,note_on,79,49,0
1,note_on,79,0,120
1,note_on,81,54,0
1,note_on,81,0,60
1,note_on,83,51,0
1,note_on,83,0,60
1,note_on,81,54,0
1,note_on,81,0,60
1,note_on,83,50,0
1,note_on,83,0,60
1,note_on,81,54,0
1,note_on,81,0,60
1,note_on,83,48,0
1,note_on,83,0,60
1,note_on,81,53,0
1,note_on,81,0,40
1,note_on,83,49,0
1,note_on,83,0,40
1,note_on,81,50,0
1,note_on,81,0,40
1,note_on,79,66,0
1,note_on,79,0,480
1,note_on,79,82,480
1,note_on,74,70,0
1,note_on,71,70,0
1,note_on,71,0,480
1,note_on,74,0,0
1,note_on,79,0,0
1,note_on,67,60,0
1,note_on,67,0,120
1,note_on,69,53,0
1,note_on,69,0,60
1,note_on,71,55,0
1,note_on,71,0,60
1,note_on,72,60,0
1,note_on,72,0,60
1,note_on,74,61,0
1,note_on,74,0,60
1,note_on,76,63,0
1,note_on,76,0,60
1,note_on,78,67,0
1,note_on,78,0,60
1,note_on,79,74,0
1,note_on,79,0,240
1,note_on,84,58,0
1,note_on,84,0,120
1,note_on,79,46,0
1,note_on,79,0,60
1,note_on,79,59,60
1,note_on,79,0,120
1,note_on,77,49,0
1,note_on,77,0,60
1,note_on,77,54,60
1,note_on,77,0,120
1,note_on,76,47,0
1,note_on,76,0,120
1,note_on,77,68,0
1,note_on,77,0,480
1,note_on,67,60,0
1,note_on,67,0,120
1,note_on,69,53,0
1,note_on,69,0,60
1,note_on,71,55,0
1,note_on,71,0,60
1,note_on,72,60,0
1,note_on,72,0,60
1,note_on,74,61,0
1,note_on,74,0,60
1,note_on,76,63,0
1,note_on,76,0,60
1,note_on,78,67,0
1,note_on,78,0,60
1,note_on,79,69,0
1,note_on,79,0,240
1,note_on,86,62,0
1,note_on,86,0,120
1,note_on,84,51,0
1,note_on,84,0,120
1,note_on,83,58,0
1,note_on,83,0,120
1,note_on,81,50,0
1,note_on,81,0,120
1,note_on,79,56,0
1,note_on,79,0,120
1,note_on,77,49,0
1,note_on,77,0,120
1,note_on,76,59,0
1,note_on,76,0,120
1,note_on,72,51,0
1,note_on,72,0,120
1,note_on,79,56,0
1,note_on,79,0,120
1,note_on,76,53,0
1,note_on,76,0,120
1,note_on,81,59,0
1,note_on,81,0,120
1,note_on,69,51,0
1,note_on,69,0,120
1,note_on,77,55,0
1,note_on,77,0,120
1,note_on,74,49,0
1,note_on,74,0,120
1,note_on,72,57,0
1,note_on,72,0,480
1,note_on,71,53,0
1,note_on,71,0,480
1,note_on,64,67,0
1,note_on,67,67,0
1,note_on,72,80,0
1,note_on,72,0,480
1,note_on,67,0,0
1,note_on,64,0,0
1,note_on,74,74,0
1,note_on,71,63,0
1,note_on,67,63,0
1,note_on,74,0,60
1,note_on,76,66,0
1,note_on,76,0,60
1,note_on,74,71,0
1,note_on,74,0,60
1,note_on,76,63,0
1,note_on,76,0,60
1,note_on,74,70,0
1,note_on,74,0,60
1,note_on,76,62,0
1,note_on,76,0,60
1,note_on,74,64,0
1,note_on,74,0,40
1,note_on,76,64,0
1,note_on,76,0,40
1,note_on,74,64,0
1,note_on,74,0,40
1,note_on,67,0,0
1,note_on,71,0,0
1,note_on,76,82,0
1,note_on,72,70,0
1,note_on,67,70,0
1,note_on,67,0,480
1,note_on,72,0,0
1,note_on,76,0,0
1,note_on,72,55,240
1,note_on,72,0,60
1,note_on,74,56,0
1,note_on,74,0,60
1,note_on,76,58,0
1,note_on,76,0,60
1,note_on,77,61,0
1,note_on,77,0,60
1,note_on,79,68,0
1,note_on,79,0,240
1,note_on,84,54,0
1,note_on,84,0,240
1,note_on,83,61,0
1,note_on,83,0,240
1,note_on,81,54,0
1,note_on,81,0,240
1,note_on,79,65,0
1,note_on,79,0,480
1,note_on,77,54,0
1,note_on,77,0,60
1,note_on,79,51,0
1,note_on,79,0,60
1,note_on,77,54,0
1,note_on,77,0,60
1,note_on,79,50,0
1,note_on,79,0,60
1,note_on,77,54,0
1,note_on,77,0,60
1,note_on,79,48,0
1,note_on,79,0,60
1,note_on,77,53,0
1,note_on,77,0,40
1,note_on,79,49,0
1,note_on,79,0,40
1,note_on,77,50,0
1,note_on,77,0,40
1,note_on,76,59,0
1,note_on,76,0,120
1,note_on,72,51,0
1,note_on,72,0,120
1,note_on,79,56,0
1,note_on,79,0,120
1,note_on,76,54,0
1,note_on,76,0,120
1,note_on,81,59,0
1,note_on,77,50,113
1,note_on,81,0,7
1,note_on,77,0,113
1,note_on,76,57,7
1,note_on,76,0,120
1,note_on,74,49,0
1,note_on,74,0,120
1,note_on,72,63,0
1,note_on,72,0,480
1,note_on,74,51,0
1,note_on,74,0,60
1,note_on,76,48,0
1,note_on,76,0,60
1,note_on,74,51,0
1,note_on,74,0,60
1,note_on,76,47,0
1,note_on,76,0,60
1,note_on,74,51,0
1,note_on,74,0,60
1,note_on,76,45,0
1,note_on,76,0,60
1,note_on,74,50,0
1,note_on,74,0,40
1,note_on,76,46,0
1,note_on,76,0,40
1,note_on,74,47,0
1,note_on,74,0,40
1,note_on,72,66,0
1,note_on,72,0,480
1,note_on,79,82,480
1,note_on,74,70,0
1,note_on,71,70,0
1,note_on,71,0,480
1,note_on,74,0,0
1,note_on,79,0,0
1,note_on,67,60,0
1,note_on,67,0,120
1,note_on,69,53,0
1,note_on,69,0,60
1,note_on,71,55,0
1,note_on,71,0,60
1,note_on,72,60,0
1,note_on,72,0,60
1,note_on,74,61,0
1,note_on,74,0,60
1,note_on,76,63,0
1,note_on,76,0,60
1,note_on,78,67,0
1,note_on,78,0,60
1,note_on,79,74,0
1,note_on,79,0,240
1,note_on,84,58,0
1,note_on,84,0,120
1,note_on,79,46,0
1,note_on,79,0,60
1,note_on,79,59,60
1,note_on,79,0,120
1,note_on,77,49,0
1,note_on,77,0,60
1,note_on,77,54,60
1,note_on,77,0,120
1,note_on,76,47,0
1,note_on,76,0,120
1,note_on,77,70,0
1,note_on,77,0,480
1,note_on,67,60,0
1,note_on,67,0,120
1,note_on,69,53,0
1,note_on,69,0,60
1,note_on,71,55,0
1,note_on,71,0,60
1,note_on,72,60,0
1,note_on,72,0,60
1,note_on,74,61,0
1,note_on,74,0,60
1,note_on,76,63,0
1,note_on,76,0,60
1,note_on,78,67,0
1,note_on,78,0,60
1,note_on,79,69,0
1,note_on,79,0,240
1,note_on,86,62,0
1,note_on,86,0,120
1,note_on,84,51,0
1,note_on,84,0,120
1,note_on,83,58,0
1,note_on,83,0,120
1,note_on,81,50,0
1,note_on,81,0,120
1,note_on,79,56,0
1,note_on,79,0,120
1,note_on,77,49,0
1,note_on,77,0,120
1,note_on,76,59,0
1,note_on,76,0,120
1,note_on,72,51,0
1,note_on,72,0,120
1,note_on,79,56,0
1,note_on,79,0,120
1,note_on,76,49,0
1,note_on,76,0,120
1,note_on,81,59,0
1,note_on,81,0,120
1,note_on,69,42,0
1,note_on,69,0,120
1,note_on,77,53,0
1,note_on,77,0,120
1,note_on,74,49,0
1,note_on,74,0,120
1,note_on,72,57,0
1,note_on,72,0,480
1,note_on,71,53,0
1,note_on,71,0,480
1,note_on,64,67,0
1,note_on,67,67,0
1,note_on,72,80,0
1,note_on,72,0,480
1,note_on,67,0,0
1,note_on,64,0,0
1,note_on,74,74,0
1,note_on,71,63,0
1,note_on,67,63,0
1,note_on,74,0,60
1,note_on,76,66,0
1,note_on,76,0,60
1,note_on,74,71,0
1,note_on,74,0,60
1,note_on,76,63,0
1,note_on,76,0,60
1,note_on,74,70,0
1,note_on,74,0,60
1,note_on,76,62,0
1,note_on,76,0,60
1,note_on,74,64,0
1,note_on,74,0,40
1,note_on,76,64,0
1,note_on,76,0,40
1,note_on,74,64,0
1,note_on,74,0,40
1,note_on,67,0,0
1,note_on,71,0,0
1,note_on,76,82,0
1,note_on,72,70,0
1,note_on,67,70,0
1,note_on,67,0,480
1,note_on,72,0,0
1,note_on,76,0,0
1,note_on,72,55,240
1,note_on,72,0,60
1,note_on,74,56,0
1,note_on,74,0,60
1,note_on,76,58,0
1,note_on,76,0,60
1,note_on,77,61,0
1,note_on,77,0,60
1,note_on,79,68,0
1,note_on,79,0,240
1,note_on,84,54,0
1,note_on,84,0,240
1,note_on,83,61,0
1,note_on,83,0,240
1,note_on,81,54,0
1,note_on,81,0,240
1,note_on,79,65,0
1,note_on,79,0,480
1,note_on,77,54,0
1,note_on,77,0,60
1,note_on,79,51,0
1,note_on,79,0,60
1,note_on,77,54,0
1,note_on,77,0,60
1,note_on,79,50,0
1,note_on,79,0,60
1,note_on,77,54,0
1,note_on,77,0,60
