Track,Message Type,Note,Velocity,Time
1,note_on,70,44,200
1,note_on,65,37,0
1,note_on,65,0,120
1,note_on,70,0,0
1,note_on,70,45,40
1,note_on,65,38,0
1,note_on,65,0,120
1,note_on,70,0,0
1,note_on,68,51,200
1,note_on,65,44,0
1,note_on,65,0,120
1,note_on,68,0,0
1,note_on,68,53,40
1,note_on,65,45,0
1,note_on,65,0,120
1,note_on,68,0,0
1,note_on,65,49,200
1,note_on,68,59,0
1,note_on,68,0,120
1,note_on,65,0,0
1,note_on,65,49,40
1,note_on,68,59,0
1,note_on,68,0,120
1,note_on,65,0,0
1,note_on,63,42,200
1,note_on,67,51,0
1,note_on,67,0,120
1,note_on,63,0,0
1,note_on,63,42,40
1,note_on,67,50,0
1,note_on,67,0,120
1,note_on,63,0,0
1,note_on,63,44,200
1,note_on,67,53,0
1,note_on,67,0,120
1,note_on,63,0,0
1,note_on,63,43,40
1,note_on,67,52,0
1,note_on,67,0,120
1,note_on,63,0,0
1,note_on,72,44,200
1,note_on,66,37,0
1,note_on,63,37,0
1,note_on,63,0,120
1,note_on,66,0,0
1,note_on,72,0,0
1,note_on,72,44,40
1,note_on,66,36,0
1,note_on,63,36,0
1,note_on,63,0,120
1,note_on,66,0,0
1,note_on,72,0,0
1,note_on,65,40,200
1,note_on,62,33,0
1,note_on,62,0,120
1,note_on,65,0,0
1,note_on,65,39,40
1,note_on,62,33,0
1,note_on,62,0,120
1,note_on,65,0,0
1,note_on,70,37,200
1,note_on,68,31,0
1,note_on,62,31,0
1,note_on,62,0,120
1,note_on,68,0,0
1,note_on,70,0,0
1,note_on,70,37,40
1,note_on,68,31,0
1,note_on,62,31,0
1,note_on,62,0,120
1,note_on,68,0,0
1,note_on,70,0,0
1,note_on,75,43,200
1,note_on,67,36,0
1,note_on,63,36,0
1,note_on,63,0,120
1,note_on,67,0,0
1,note_on,75,0,0
1,note_on,75,43,40
1,note_on,67,36,0
1,note_on,63,36,0
1,note_on,63,0,120
1,note_on,67,0,0
1,note_on,75,0,0
1,note_on,63,42,200
1,note_on,67,42,0
1,note_on,75,50,0
1,note_on,75,0,120
1,note_on,67,0,0
1,note_on,63,0,0
1,note_on,63,42,40
1,note_on,67,42,0
1,note_on,75,51,0
1,note_on,75,0,120
1,note_on,67,0,0
1,note_on,63,0,0
1,note_on,63,48,200
1,note_on,67,48,0
1,note_on,75,57,0
1,note_on,75,0,120
1,note_on,67,0,0
1,note_on,63,0,0
1,note_on,63,49,40
1,note_on,67,49,0
1,note_on,75,58,0
1,note_on,75,0,120
1,note_on,67,0,0
1,note_on,63,0,0
1,note_on,63,52,200
1,note_on,68,52,0
1,note_on,75,62,0
1,note_on,75,0,120
1,note_on,68,0,0
1,note_on,63,0,0
1,note_on,75,63,40
1,note_on,68,53,0
1,note_on,63,53,0
1,note_on,63,0,120
1,note_on,68,0,0
1,note_on,75,0,0
1,note_on,63,59,200
1,note_on,70,59,0
1,note_on,75,70,0
1,note_on,75,0,120
1,note_on,70,0,0
1,note_on,63,0,0
1,note_on,63,59,40
1,note_on,70,59,0
1,note_on,75,70,0
1,note_on,75,0,120
1,note_on,70,0,0
1,note_on,63,0,0
1,note_on,75,64,200
1,note_on,71,55,0
1,note_on,63,55,0
1,note_on,63,0,120
1,note_on,71,0,0
1,note_on,75,0,0
1,note_on,75,64,40
1,note_on,71,54,0
1,note_on,63,54,0
1,note_on,63,0,120
1,note_on,71,0,0
1,note_on,75,0,0
1,note_on,63,58,200
1,note_on,72,58,0
1,note_on,75,69,0
1,note_on,75,0,120
1,note_on,72,0,0
1,note_on,63,0,0
1,note_on,63,57,40
1,note_on,72,57,0
1,note_on,75,68,0
1,note_on,75,0,120
1,note_on,72,0,0
1,note_on,63,0,0
1,note_on,65,64,200
1,note_on,72,64,0
1,note_on,75,77,0
1,note_on,77,77,0
1,note_on,77,0,120
1,note_on,65,0,0
1,note_on,72,0,0
1,note_on,75,0,0
1,note_on,65,64,40
1,note_on,72,64,0
1,note_on,75,77,0
1,note_on,77,77,0
1,note_on,77,0,120
1,note_on,65,0,0
1,note_on,72,0,0
1,note_on,75,0,0
1,note_on,79,78,200
1,note_on,75,78,0
1,note_on,70,66,0
1,note_on,67,66,0
1,note_on,67,0,120
1,note_on,79,0,0
1,note_on,75,0,0
1,note_on,70,0,0
1,note_on,79,78,40
1,note_on,75,78,0
1,note_on,70,66,0
1,note_on,67,66,0
1,note_on,67,0,120
1,note_on,79,0,0
1,note_on,75,0,0
1,note_on,70,0,0
1,note_on,75,50,200
1,note_on,70,42,0
1,note_on,67,42,0
1,note_on,67,0,120
1,note_on,70,0,0
1,note_on,75,0,0
1,note_on,75,49,40
1,note_on,70,41,0
1,note_on,67,41,0
1,note_on,67,0,120
1,note_on,70,0,0
1,note_on,75,0,0
1,note_on,70,49,200
1,note_on,63,40,0
1,note_on,63,0,120
1,note_on,70,0,0
1,note_on,70,47,40
1,note_on,63,39,0
1,note_on,63,0,120
1,note_on,70,0,0
1,note_on,62,32,200
1,note_on,68,32,0
1,note_on,70,38,0
1,note_on,70,0,120
1,note_on,68,0,0
1,note_on,62,0,0
1,note_on,70,37,40
1,note_on,68,31,0
1,note_on,62,31,0
1,note_on,62,0,120
1,note_on,68,0,0
1,note_on,70,0,0
1,note_on,70,35,200
1,note_on,68,29,0
1,note_on,62,29,0
1,note_on,62,0,120
1,note_on,68,0,0
1,note_on,70,0,0
1,note_on,70,35,40
1,note_on,68,29,0
1,note_on,62,29,0
1,note_on,62,0,120
1,note_on,68,0,0
1,note_on,70,0,0
1,note_on,62,32,40
1,note_on,68,32,0
1,note_on,71,38,0
1,note_on,71,0,120
1,note_on,68,0,0
1,note_on,62,0,0
1,note_on,70,35,40
1,note_on,68,29,0
1,note_on,62,29,0
1,note_on,62,0,120
1,note_on,68,0,0
1,note_on,70,0,0
1,note_on,70,35,40
1,note_on,68,29,0
1,note_on,62,29,0
1,note_on,62,0,120
1,note_on,68,0,0
1,note_on,70,0,0
1,note_on,75,39,40
1,note_on,67,33,0
1,note_on,63,33,0
1,note_on,63,0,480
1,note_on,67,0,0
1,note_on,75,0,0
1,note_on,65,39,160
1,note_on,67,46,0
1,note_on,67,0,120
1,note_on,65,0,0
1,note_on,67,41,40
1,note_on,65,28,0
1,note_on,65,0,120
1,note_on,67,0,0
1,note_on,63,43,200
1,note_on,72,51,0
1,note_on,72,0,120
1,note_on,63,0,0
1,note_on,63,32,40
1,note_on,72,45,0
1,note_on,72,0,120
1,note_on,63,0,0
1,note_on,63,48,200
1,note_on,72,57,0
1,note_on,72,0,120
1,note_on,63,0,0
1,note_on,63,49,40
1,note_on,72,58,0
1,note_on,72,0,120
1,note_on,63,0,0
1,note_on,72,56,200
1,note_on,63,47,0
1,note_on,63,0,120
1,note_on,72,0,0
1,note_on,72,56,40
1,note_on,63,47,0
1,note_on,63,0,120
1,note_on,72,0,0
1,note_on,60,39,200
1,note_on,67,39,0
1,note_on,72,46,0
1,note_on,72,0,120
1,note_on,67,0,0
1,note_on,60,0,0
1,note_on,67,35,40
1,note_on,72,42,0
1,note_on,60,35,0
1,note_on,60,0,120
1,note_on,72,0,0
1,note_on,67,0,0
1,note_on,70,59,200
1,note_on,67,50,0
1,note_on,60,50,0
1,note_on,60,0,120
1,note_on,67,0,0
1,note_on,70,0,0
1,note_on,60,50,40
1,note_on,67,50,0
1,note_on,70,59,0
1,note_on,70,0,120
1,note_on,67,0,0
1,note_on,60,0,0
1,note_on,68,52,200
1,note_on,65,44,0
1,note_on,60,44,0
1,note_on,60,0,120
1,note_on,65,0,0
1,note_on,68,0,0
1,note_on,68,52,40
1,note_on,65,44,0
1,note_on,60,44,0
1,note_on,60,0,120
1,note_on,65,0,0
1,note_on,68,0,0
1,note_on,59,47,200
1,note_on,67,56,0
1,note_on,65,47,0
1,note_on,65,0,120
1,note_on,67,0,0
1,note_on,59,0,0
1,note_on,59,47,40
1,note_on,67,56,0
1,note_on,65,47,0
1,note_on,65,0,120
1,note_on,67,0,0
1,note_on,59,0,0
1,note_on,71,54,200
1,note_on,67,45,0
1,note_on,62,45,0
1,note_on,62,0,120
1,note_on,67,0,0
1,note_on,71,0,0
1,note_on,67,45,40
1,note_on,71,54,0
1,note_on,62,45,0
1,note_on,62,0,120
1,note_on,71,0,0
1,note_on,67,0,0
1,note_on,60,49,200
1,note_on,67,49,0
1,note_on,72,58,0
1,note_on,72,0,120
1,note_on,67,0,0
1,note_on,60,0,0
1,note_on,72,55,40
1,note_on,67,46,0
1,note_on,60,46,0
1,note_on,60,0,120
1,note_on,67,0,0
1,note_on,72,0,0
1,note_on,65,56,200
1,note_on,67,56,0
1,note_on,74,66,0
1,note_on,74,0,120
1,note_on,67,0,0
1,note_on,65,0,0
1,note_on,65,57,40
1,note_on,67,57,0
1,note_on,74,68,0
1,note_on,74,0,120
1,note_on,67,0,0
1,note_on,65,0,0
1,note_on,67,62,200
1,note_on,75,74,0
1,note_on,63,62,0
1,note_on,63,0,120
1,note_on,75,0,0
1,note_on,67,0,0
1,note_on,67,62,40
1,note_on,75,75,0
1,note_on,63,62,0
1,note_on,63,0,120
1,note_on,75,0,0
1,note_on,67,0,0
1,note_on,79,82,200
1,note_on,72,69,0
1,note_on,67,69,0
1,note_on,67,0,120
1,note_on,72,0,0
1,note_on,79,0,0
1,note_on,79,82,40
1,note_on,72,69,0
1,note_on,67,69,0
1,note_on,67,0,120
1,note_on,72,0,0
1,note_on,79,0,0
1,note_on,84,85,200
1,note_on,79,85,0
1,note_on,72,72,0
1,note_on,72,0,120
1,note_on,79,0,0
1,note_on,84,0,0
1,note_on,84,85,40
1,note_on,79,85,0
1,note_on,72,72,0
1,note_on,72,0,120
1,note_on,79,0,0
1,note_on,84,0,0
1,note_on,72,50,200
1,note_on,66,42,0
1,note_on,62,42,0
1,note_on,62,0,120
1,note_on,66,0,0
1,note_on,72,0,0
1,note_on,72,49,40
1,note_on,66,41,0
1,note_on,62,41,0
1,note_on,62,0,120
1,note_on,66,0,0
1,note_on,72,0,0
1,note_on,67,40,200
1,note_on,71,49,0
1,note_on,62,40,0
1,note_on,62,0,120
1,note_on,71,0,0
1,note_on,67,0,0
1,note_on,67,39,40
1,note_on,71,47,0
1,note_on,62,39,0
1,note_on,62,0,120
1,note_on,71,0,0
1,note_on,67,0,0
1,note_on,62,27,200
1,note_on,68,27,0
1,note_on,70,32,0
1,note_on,70,0,120
1,note_on,68,0,0
1,note_on,62,0,0
1,note_on,70,31,40
1,note_on,68,26,0
1,note_on,62,26,0
1,note_on,62,0,120
1,note_on,68,0,0
1,note_on,70,0,0
1,note_on,75,36,200
1,note_on,67,30,0
1,note_on,63,30,0
1,note_on,63,0,120
1,note_on,67,0,0
1,note_on,75,0,0
1,note_on,75,37,40
1,note_on,67,31,0
1,note_on,63,31,0
1,note_on,63,0,120
1,note_on,67,0,0
1,note_on,75,0,0
1,note_on,63,37,200
1,note_on,67,37,0
1,note_on,75,45,0
1,note_on,75,0,120
1,note_on,67,0,0
1,note_on,63,0,0
1,note_on,63,38,40
1,note_on,67,38,0
1,note_on,75,46,0
1,note_on,75,0,120
1,note_on,67,0,0
1,note_on,63,0,0
1,note_on,63,44,200
1,note_on,67,44,0
1,note_on,75,53,0
1,note_on,75,0,120
1,note_on,67,0,0
1,note_on,63,0,0
1,note_on,63,46,40
1,note_on,67,46,0
1,note_on,75,55,0
1,note_on,75,0,120
1,note_on,67,0,0
1,note_on,63,0,0
1,note_on,63,50,200
1,note_on,68,50,0
1,note_on,75,60,0
1,note_on,75,0,120
1,note_on,68,0,0
1,note_on,63,0,0
1,note_on,75,61,40
1,note_on,68,51,0
1,note_on,63,51,0
1,note_on,63,0,120
1,note_on,68,0,0
1,note_on,75,0,0
1,note_on,63,59,200
1,note_on,70,59,0
1,note_on,75,70,0
1,note_on,75,0,120
1,note_on,70,0,0
1,note_on,63,0,0
1,note_on,63,59,40
1,note_on,70,59,0
1,note_on,75,70,0
1,note_on,75,0,120
1,note_on,70,0,0
1,note_on,63,0,0
1,note_on,75,64,200
1,note_on,71,55,0
1,note_on,63,55,0
1,note_on,63,0,120
1,note_on,71,0,0
1,note_on,75,0,0
1,note_on,75,64,40
1,note_on,71,54,0
1,note_on,63,54,0
1,note_on,63,0,120
1,note_on,71,0,0
1,note_on,75,0,0
1,note_on,63,58,200
1,note_on,72,58,0
1,note_on,75,69,0
1,note_on,75,0,120
1,note_on,72,0,0
1,note_on,63,0,0
1,note_on,63,57,40
1,note_on,72,57,0
1,note_on,75,68,0
1,note_on,75,0,120
1,note_on,72,0,0
1,note_on,63,0,0
1,note_on,65,64,200
1,note_on,72,64,0
1,note_on,75,77,0
1,note_on,77,77,0
1,note_on,77,0,120
1,note_on,65,0,0
1,note_on,72,0,0
1,note_on,75,0,0
1,note_on,65,64,40
1,note_on,72,64,0
1,note_on,75,77,0
1,note_on,77,77,0
1,note_on,77,0,120
1,note_on,65,0,0
1,note_on,72,0,0
1,note_on,75,0,0
1,note_on,79,78,200
1,note_on,75,78,0
1,note_on,70,66,0
1,note_on,67,66,0
1,note_on,67,0,120
1,note_on,79,0,0
1,note_on,75,0,0
1,note_on,70,0,0
1,note_on,79,78,40
1,note_on,75,78,0
1,note_on,70,66,0
1,note_on,67,66,0
1,note_on,67,0,120
1,note_on,79,0,0
1,note_on,75,0,0
1,note_on,70,0,0
1,note_on,75,50,200
1,note_on,70,42,0
1,note_on,67,42,0
1,note_on,67,0,120
1,note_on,70,0,0
1,note_on,75,0,0
1,note_on,75,49,40
1,note_on,70,41,0
1,note_on,67,41,0
1,note_on,67,0,120
1,note_on,70,0,0
1,note_on,75,0,0
1,note_on,70,49,200
1,note_on,63,40,0
1,note_on,63,0,120
1,note_on,70,0,0
1,note_on,70,47,40
1,note_on,63,39,0
1,note_on,63,0,120
1,note_on,70,0,0
1,note_on,62,32,200
1,note_on,68,32,0
1,note_on,70,38,0
1,note_on,70,0,120
1,note_on,68,0,0
1,note_on,62,0,0
1,note_on,70,37,40
1,note_on,68,31,0
1,note_on,62,31,0
1,note_on,62,0,120
1,note_on,68,0,0
1,note_on,70,0,0
1,note_on,70,35,200
1,note_on,68,29,0
1,note_on,62,29,0
1,note_on,62,0,120
1,note_on,68,0,0
1,note_on,70,0,0
1,note_on,70,35,40
1,note_on,68,29,0
1,note_on,62,29,0
1,note_on,62,0,120
1,note_on,68,0,0
1,note_on,70,0,0
1,note_on,62,32,40
1,note_on,68,32,0
1,note_on,71,38,0
1,note_on,71,0,120
1,note_on,68,0,0
1,note_on,62,0,0
1,note_on,70,35,40
1,note_on,68,29,0
1,note_on,62,29,0
1,note_on,62,0,120
1,note_on,68,0,0
1,note_on,70,0,0
1,note_on,70,35,40
1,note_on,68,29,0
1,note_on,62,29,0
1,note_on,62,0,120
1,note_on,68,0,0
1,note_on,70,0,0
1,note_on,75,39,40
1,note_on,67,33,0
1,note_on,63,33,0
1,note_on,63,0,480
1,note_on,67,0,0
1,note_on,75,0,0
1,note_on,65,39,160
1,note_on,67,46,0
1,note_on,67,0,120
1,note_on,65,0,0
1,note_on,67,41,40
1,note_on,65,28,0
1,note_on,65,0,120
1,note_on,67,0,0
1,note_on,63,43,200
1,note_on,72,51,0
1,note_on,72,0,120
1,note_on,63,0,0
1,note_on,63,32,40
1,note_on,72,45,0
1,note_on,72,0,120
1,note_on,63,0,0
1,note_on,63,48,200
1,note_on,72,57,0
1,note_on,72,0,120
1,note_on,63,0,0
1,note_on,63,49,40
1,note_on,72,58,0
1,note_on,72,0,120
1,note_on,63,0,0
1,note_on,72,56,200
1,note_on,63,47,0
1,note_on,63,0,120
1,note_on,72,0,0
1,note_on,72,56,40
1,note_on,63,47,0
1,note_on,63,0,120
1,note_on,72,0,0
1,note_on,60,39,200
1,note_on,67,39,0
1,note_on,72,46,0
1,note_on,72,0,120
1,note_on,67,0,0
1,note_on,60,0,0
1,note_on,67,35,40
1,note_on,72,42,0
1,note_on,60,35,0
1,note_on,60,0,120
1,note_on,72,0,0
1,note_on,67,0,0
1,note_on,70,59,200
1,note_on,67,50,0
1,note_on,60,50,0
1,note_on,60,0,120
1,note_on,67,0,0
1,note_on,70,0,0
1,note_on,60,50,40
1,note_on,67,50,0
1,note_on,70,59,0
1,note_on,70,0,120
1,note_on,67,0,0
1,note_on,60,0,0
1,note_on,68,52,200
1,note_on,65,44,0
1,note_on,60,44,0
1,note_on,60,0,120
1,note_on,65,0,0
1,note_on,68,0,0
1,note_on,68,52,40
1,note_on,65,44,0
1,note_on,60,44,0
1,note_on,60,0,120
1,note_on,65,0,0
1,note_on,68,0,0
1,note_on,59,47,200
1,note_on,67,56,0
1,note_on,65,47,0
1,note_on,65,0,120
1,note_on,67,0,0
1,note_on,59,0,0
1,note_on,59,47,40
1,note_on,67,56,0
1,note_on,65,47,0
1,note_on,65,0,120
1,note_on,67,0,0
1,note_on,59,0,0
1,note_on,71,54,200
1,note_on,67,45,0
1,note_on,62,45,0
1,note_on,62,0,120
1,note_on,67,0,0
1,note_on,71,0,0
1,note_on,67,45,40
1,note_on,71,54,0
1,note_on,62,45,0
1,note_on,62,0,120
1,note_on,71,0,0
1,note_on,67,0,0
1,note_on,60,49,200
1,note_on,67,49,0
1,note_on,72,58,0
1,note_on,72,0,120
1,note_on,67,0,0
1,note_on,60,0,0
1,note_on,72,55,40
1,note_on,67,46,0
1,note_on,60,46,0
1,note_on,60,0,120
1,note_on,67,0,0
1,note_on,72,0,0
1,note_on,65,56,200
1,note_on,67,56,0
1,note_on,74,66,0
1,note_on,74,0,120
1,note_on,67,0,0
1,note_on,65,0,0
1,note_on,65,57,40
1,note_on,67,57,0
1,note_on,74,68,0
1,note_on,74,0,120
1,note_on,67,0,0
1,note_on,65,0,0
1,note_on,67,62,200
1,note_on,75,74,0
1,note_on,63,62,0
1,note_on,63,0,120
1,note_on,75,0,0
1,note_on,67,0,0
1,note_on,67,62,40
1,note_on,75,75,0
1,note_on,63,62,0
1,note_on,63,0,120
1,note_on,75,0,0
1,note_on,67,0,0
1,note_on,79,82,200
1,note_on,72,69,0
1,note_on,67,69,0
1,note_on,67,0,120
1,note_on,72,0,0
1,note_on,79,0,0
1,note_on,79,82,40
1,note_on,72,69,0
1,note_on,67,69,0
1,note_on,67,0,120
1,note_on,72,0,0
1,note_on,79,0,0
1,note_on,84,85,200
1,note_on,79,85,0
1,note_on,72,72,0
1,note_on,72,0,120
1,note_on,79,0,0
1,note_on,84,0,0
1,note_on,84,85,40
1,note_on,79,85,0
1,note_on,72,72,0
1,note_on,72,0,120
1,note_on,79,0,0
